date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check
01/01/1875,January,The wind N. West heavy blow. made small chair and worked in shop,confident,Winter Harbor,mentioned,"Home, Shop, Home",mentioned,NA,NA,NA,NA,1,count,chair,no letter,NA,NA,NW,NA,NA,heavy blow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,changed & to and,NA,"DD, RL"
01/02/1875,January,The wind Easterly and snow storm put wood in shed,confident,Winter Harbor,mentioned,"Home, Shed, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,snow storm,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"DD, RL"
01/03/1875,January,The wind W. N. W. went on board the Sea Flower and pumped her out.,confident,Winter Harbor,assumed,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,WNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"DD, RL"
01/04/1875,January,The wind very moderate Westerly got two Bbls coal home and went on the shore and Married Mr Henry Bunker and Miss Hattie Bunker both of Gouldsboro came back and went to Hall meeting and was chosen secretary,confident,Winter Harbor,assumed,"Home, Shore, Hall, Home",mentioned,NA,NA,NA,NA,2,bbl,Coal,no letter,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, DD, RL"
01/05/1875,January,The wind North East wrote letter to the Secretary of Narraguagus Lodge got the Sea Flower underway and went to South West Harbor and landed freight hauled away from wharf at dark.,confident,"Winter Harbor, Southwest Harbor, Winter Harbor",assumed,"Home, Wharf, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,Narraguagus Lodge,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"DD, RL"
01/06/1875,January,The wind Northerly in morning very moderate. got under way at day light and went to Crandberry Isles put the Sea Flower at Thomas Bunker's wharf in the pool. and settled with him for the Sea Flower's summers' work paid him $23.12 ballance do him. Got in dora and started for home at 11 A.M. rowed as far as Otter Creek. got on boards of Schr Halcyon and got home at 3 oclock P.M. with the wind mor westerly,confident,"Winter Harbor, Cranberry Isles , Otter Creek, Winter Harbor",assumed,"Home, Thomas Bunker's wharf, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,W  ,NA,very moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,"changed Bunkers to Bunker's, changed Flowers to Flower's, changed summers to summer's",NA,"WD, DD, RL"
01/07/1875,January,The wind North East very moderate all day with snow wrote letters to Hancock Co Pub Co and Thomas Bunker work in shop. ,confident,Winter Harbor,assumed,"Home, Shop, Home",mentioned,NA,NA,NA,NA,NA,NA,NA,write,NA,"Hancock Company Pub Company, Thomas Bunker",NE,NA,NA,very moderate,very moderate,very moderate,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, DD, RL"
01/08/1875,January,The wind N.N.W. settled with Capt Abner Tracy. For the Schr Signal,confident,Winter Harbor,assumed,,,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, DD, RL"
01/09/1875,January,The wind N. East in morning snowing S.S.E. in afternoon settled account with Capt Thomas Hammond Schr Amulet. wrote letters to Sec of Continental Life Ins Co. Hartford David Tyler Deer Isle. and J. A. Pilsbury of Bucksport W. H. Pilsbury,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,write,NA,"Continental Life Insurance Company, David Tyler, J. A. Pilsbury, W. H. Pilsbury",NE,SSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"WD, DD, RL"
01/10/1875,January,The wind Westerly heavy breeze and cold,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,heavy breeze,NA,NA,cold,NA,NA,NA,NA,NA,NA,NA,NH,NA,NA,"DD, RL"
