date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check
01/01/1877,January,The wind West North West. work about home in the shop turning Lounge legs for Reuben Rand and butter stamps. In the evening the wind hauled around North East.,confident,Winter Harbor,mentioned,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,count,"lounge leg, buter stamp",no letter,NA,NA,WNW,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,GG
01/02/1877,January,The wind North East. thick with snow. all day. attended wharf meeting in the evening was Chosen Clerk. meeting adjourned for two weeks,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,thick snow,thick snow,thick snow,NA,NA,NA,NA,NA,DD,wind direction entered in am as does not specify time of day,NA,GG
01/03/1877,January,The wind Westerly and snow blowing. Commenced making stand.,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,NA,NA,NA,snow blowing,NA,NA,NA,NA,NA,NA,NA,DD,"wind entered in am as does not specify time of day, same with weather cond",NA,GG
01/04/1877,January,The wind Westerly. work in shop making stand.,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,1,count,light stand,no letter,NA,NA,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DD,wind direction entered in am as does not specify time of day,NA,GG
01/05/1877,January,The Wind North West at work in shop.,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DD,wind direction entered in am as does not specify time of day,NA,GG
01/06/1877,January,Calm and moderate Furring sleigh standards for R Rand and  furrings slate  for Charles Pendleton.,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,"1,1",count,"furring sleigh, furring slate",no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DD,unsure in bold,NA,GG
01/07/1877,January,The wind Easterly stormy snow in the forenoon then rain.,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,snow storm,rain,NA,NA,NA,NA,NA,NA,DD,wind direction entered in am as does not specify time of day,NA,GG
01/08/1877,January,The wind South West moderate wind and warm. jobbling in shop.,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,moderate,NA,NA,warm,NA,NA,NA,NA,NA,NA,NA,DD,"wind direction entered in am as does not specify time of day, same with wind speed and weather cond",NA,GG
01/09/1877,January,The wind N.W. by. N. wrote letter to the Interpreter of the Hospital at Leghron,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,write,NA,Interpreter of the Hospital at Leghron,NNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DD,"wind direction entered in am as does not specify time of day, unsure in bold",NA,GG
01/10/1877,January,The wind East North East moderate wind and cold. work making stand Traded Grind stones with William Guptill,somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,1,count,"light stand, grind stone",no letter,NA,NA,ENE,NA,NA,moderate,NA,NA,cold,NA,NA,NA,NA,NA,NA,NA,DD,"wind direction entered in am as does not specify time of day, same with wind speed and weather cond",NA,GG
