date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check
1/1/1884,January,"Wind East North East and snowy all day. hauled up to the house ton of coal that came out the ""Chromo"" that I have been in for the past year. Took Sch Egret from the Steam boat wharf and took her to our own wharf to look after the remainder of the winter Price agreed upon $5.00. In the evening went to the Steam boat wharf meeting at Winter Harbor Sleighing good.",confident,Winter Harbor,mentioned,wharf,mentioned,NA,NA,NA,NA,NA,count,coal,no letter,NA,NA,ENE,ENE,ENE,NA,NA,NA,snowy,snowy,snowy,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/2/1884,January,Wind East South East. snowing hard and blowing a gale Chromo. dragged one anchor. Got a hawser across the Harbor and kept her from going a shore,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,ESE,NA,NA,blowing a gale,NA,NA,snowing hard,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/3/1884,January,Wind West by South and a very fresh breeze. Work on board of Chromo all the forenoon clearing anchors. One garing on board I found she had swung in to the Golden Eagle draged her from her moorings and broke her main boom and done in the night when the wind changed from E.S.E. to West by South ,somewhat confident,Golden Eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,"ESE, SW",very fresh breeze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/4/1883,January,Wind West South West and a very fresh breeze Work apart of the day on a skiff. Schr Laying ton Capt. Eugene Naitter got a shore on Harbor point in trying to get in Wind baffling Went to his assistance but he needed no help,somewhat confident,NA,NA,Harbor Point,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,WSW,NA,NA,"very fresh breeze, wind baffling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/5/1883,January,Wind NorthWest. Thermometer 10' above zero. Work most all day on a playboat putting sails on for Charley Kingsley,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,count,sails,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,GG,NA,NA,GG
1/6/1884,January,Wind NorthWest and cold thermometer at zero in the morning Intended to go to West Bay to Capt John Moores Funeral but cold and gave it up,confident,West Bay,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,cold,NA,NA,0,NA,NA,NA,NA,GG,NA,NA,GG
1/7/1884,January,Wind NorthWest . made stem for any boat and work about home,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,count,stem,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/8/1884,January,Wind NorthWest At night wind went down. Work at J F Kingsleys apart of the day on boat,confident,NA,NA,J.F. Kingsley's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/9/1884,January,Wind South Easterly and a terrific storm Sch Egret lying at our wharf had her mainsail entirely blown to pieces,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,NA,NA,terrific storm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/10/1884,January,Wind Westerly quite moderate work about home. In the evening went to Lyceum Question Resolve that Industry is more advantageous to man than talent. My self on the affirmative Question decided in the negative,confident,winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,w,NA,NA,quite moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/11/1884,January,Calm all day damp with rain and snow. Work apart of the day on boat,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,calm,calm,calm,"rain, snow",NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/12/1884,January,Wind North East. hauled home from Baker & Smith 1 1/4 cords of hard wood paid for the same In evening storming,confident,winter Harbor,assumed,home,mentioned,NA,NA,NA,NA,1 1/4,cord,hardwood,no letter,NA,NA,NE,NA,NA,NA,NA,NA,NA,stormy,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/13/1884,January,Wind Northerly and moderate in the forenoon and Southerly in the afternoon,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,S,NA,moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/14/1884,January,Wind NorthWest. work most all day on Sch Chromo. placing the anchors anew,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,count,anchor,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/15/1884,January,Wind NorthWest and cold. Work about home in the forenoon and in the afternoon to J F Kingsleys shop to work,confident,winter Harbor,mentioned,"home, J.F. Kingsley's shop",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,cold,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/16/1884,January,"Wind West North West and cold work about home in the forenoon, and in the afternoon went to J F Kingsleys to work he being to West Gouldsboro to get his horse showed. At 1.45 P.M. Neud came that Mr Kingsley was very sick at West Gouldsboro and was probably dead. Hired team and carried Mr Kingsleys wife to West Gouldsboro, and found he was dead. Came back to Winter Harbor with his horse and the hired team in tow. Got some clothes for Mr Kingsleys as requested and went back to West Gouldsboro. In the evening came home to make arrangements for casket and other things pertaining",somewhat confident,"Winter Harbor, West Gouldsboro",assumed,"home, J.F. Kingsley's  ",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,WNW,NA,NA,NA,NA,NA,cold,NA,NA,NA,NA,NA,NA,NA,GG,NA,J.F. Kingsley died,GG
1/17/1884,January,"Wind Westerly. Ordered casket from the shop Reuben Rand And decided to have J. F. Kingsley burried at Winter Harbor, as it was left with me to decide and marked out the place in the yard. In the afternoon went to West Gouldsboro for further instructions carried Charley (11 years old) son of Mr Kingsley who wanted to see his father. came back at night with Jennil his widow and his son Charley",confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/18/1884,January,Wind West South West and pleasant. At 10 oclock in the forenoon sent a team to West Gouldsboro with a casket. Got S. C. Pendleton to dig grave At 2 oclock in the afternoon the casket came back with the remains of J. F. Kingsley carried to his house. Watches for the night Capt G.W. Tracy & Ged Pendleton,confident,West Gouldsboro,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,WSW,NA,NA,pleasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/19/1884,January,Wind North East snow storm. Made preparations for the funeral of J. F. Kingsley. Watches for the night Capt. Peleg Tracy and Capt. Herbert E. Tracy,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,snow storm,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/20/1884,January,Wind North East and quite cold. At one PM the relitives of the late J. F. Kingsley began to assemble at his house. At 2 oclock P.M. they formed into a procession and went to the Hall to attend funeral conducted by Mr. Banghart co methodist minister,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,quite cold,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/21/1884,January,Wind NorthEast and moderate Commenced moving over to Mrs. Jennil  Kingsleys to assist them in taking care of the sheep and barn during stormy weather,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,moderate,NA,NA,stormy,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/22/1884,January,Wind South West work all day moving furniture and stoves over to Mrs Kingsleys and setting them up do not keep house by our selves but all in one family at present,confident,NA,NA,J.F. Kingsley's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/23/1884,January,"Calm all forenoon work hauling wood for Mrs Kingsley afternoon wind Southerly. went to the Lower Harbor with Capt. G.W. Tracy with house, and got stick to make the Sch American Eagle main boom",somewhat confident,Lower Harbor,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,S,NA,calm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/24/1884,January,Wind Southerly In the forenoon moving things over to Jennil Kingsleys and in the afternoon heavy rain,confident,NA,NA,J.F. Kingsley's,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,heavy rain,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/25/1884,January,Wind North. Roads all ice good sleighing Work all day on skiff in shop ,confident,winter harbor,assumed,shop,mentioned,NA,NA,NA,NA,NA,count,skiff,no letter,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/26/1884,January,"Wind North NorthWest. Work in shop on various kinds of work, and getting ready to keep house by our selves",confident,winter harbor,assumed,shop,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/27/1884,January,Wind Northerly and cold,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,NA,NA,NA,NA,NA,cold,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
1/28/1884,January,Calm all day and in the morning the thermometer below zero. Work all day moving things from the old house to mrs Kingsleys and finished at night,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,calm,calm,calm,NA,NA,NA,<0,NA,NA,NA,NA,GG,NA,NA,GG
1/29/1884,January,Wind Southerly hauled one load of wood for Mrs Kingsle in the morning and worked the remainder of the day build sink and closet in one part of Mrs Kingsleys house getting ready to keep house by our selves Laura Joy moved in our old house that we have just left,confident,NA,NA,NA,NA,NA,NA,NA,NA,"1,1,1","load,count,count","wood, sink, closet",no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,NA,NA,GG
