date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check
01/01/1874,January,The wind south west went to Shooting match,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/02/1874,January,The wind out Southerly went on Iron Bound to pay Galen Smith for his wood that I carried to Rockland in the Amulet rainy in the after noon.,confident,"Winter Harbor, Iron Bound, Winter Harbor",assumed,"Home, Galen Smith's, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,rainy,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/03/1874,January,The wind very moderate commenced making boxes for the Wind mill went to Lodge of Good Templars.,confident,Winter Harbor,assumed,"Home, Shop, Lodge of Good Templars, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,very moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/04/1874,January,The wind South west,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/05/1874,January,The wind North Easterly finished making boxes for wind mill,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/06/1874,January,The wind southerly made damper for stove pipe wrote letter to Proctor Smallidge,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,write,NA,Proctor Smallidge,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/07/1874,January,The wind southerly and rainy work on jigsaw making break etc.,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,rainy,NA,NA,NA,NA,NA,NA,NA,ER,changed & to etc.,,"WD, DD, LN"
01/08/1874,January,The wind South by East rain in afternoon mended apple pairer for Wm. Rand,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,rain,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/09/1874,January,The wind Southerly and warm settled for School House stove as one of the trustees or committee,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,warm,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/10/1874,January,The wind Southerly Jobbing about home,confident,Winter Harbor,mentioned,Home,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"WD, DD, LN"
01/11/1874,January,The wind South West,confident,Winter Harbor,assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/12/1874,January,The wind North West commenced making lamppost for Good Templars,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,1,count,lamp post,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/13/1874,January,The wind Northerly finished making the lamppost,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,1,count,lamp post,no letter,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/14/1874,January,The wind N.W. commenced making high chair big snow storm,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/15/1874,January,The wind W.N.W. finished high chair filed wood saw etc.,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,1,count,high chair,no letter,NA,NA,WNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,changed & to etc.,,"DD, LN"
01/16/1874,January,The wind NorthWest made handsled rolling pin etc.,confident,Winter Harbor,assumed,"Home, Shop, Home",assumed,NA,NA,NA,NA,1,count,handsled,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,changed & to etc.,,"DD, LN"
01/17/1874,January,The wind North West set lamp post for Lodge at Good Templars recd letter from Hanncock Co. publishing company,confident,Winter Harbor,assumed,"Home, Lodge of Good Templars, Home",assumed,NA,NA,NA,NA,1,count,lamp,read,Hancock Publishing Company,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/18/1874,January,The wind South West made a call at Flora Gerrish,confident,Winter Harbor,assumed,"Home, Flora Gerrish's, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/19/1874,January,The wind Southerly went up the stream cutting fire wood carried bed clothes stayed at the camp all night,confident,Winter Harbor,assumed,"Home, Woods",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,"He's mentioned the stream and the woods a few times, also in 1873, so I put it the woods as a local place for both as they are often mentioned together assuming its a stream and woods in Winter Harbor,",,"DD, LN"
01/20/1874,January,The wind Northerly cutting firewood staid at the camp.,confident,Winter Harbor,assumed,Woods,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/21/1874,January,The wind. S.S. East cut wood and came out to night snowing.,confident,Winter Harbor,assumed,Woods,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/22/1874,January,The wind southerly went up in the woods cutting wood,confident,Winter Harbor,assumed,Woods,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
01/23/1874,January,The wind southerly.rainy cutting wood,confident,Winter Harbor,assumed,Woods,assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,rainy,NA,NA,NA,NA,NA,NA,NA,ER,NA,,"DD, LN"
