date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check
01/01/1873,January,Quite pleasant work in shop on jig saw went to the Hall to a party in Evening ,confident,Winter Harbor,mentioned,"Home, Shop, Hall, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,quite pleasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO,NA,,"DD, LN"
01/02/1873,January,The weather quite moderate work in shop on jigsaw,confident,Winter Harbor,mentioned,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,moderate,NA,NA,quite moderate,NA,NA,NA,NA,NA,NA,NA,SO,NA,,"DD, LN"
01/03/1873,January,"Stormy, work in shop on jig saw",confident,Winter Harbor,mentioned,"Home, Shop, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,stormy,NA,NA,NA,NA,NA,NA,NA,SO,NA,,"DD, LN"
01/04/1873,January,Pleasant the wind west work in shop finished the jig saw went to the of Lodge of Good Templars,confident,Winter Harbor,mentioned,"Home, Shop, Lodge of Good Templars, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,pleasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO,NA,,"DD, LN"
01/05/1873,January,Morning pleasant afternoon Cloudy evening stormy. Took tea at Capt Peleg Tracy's ,confident,Winter Harbor,assumed,"Home, Peleg Tracy's, Home",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,plesant,cloudy,stormy,NA,NA,NA,NA,NA,SO,changed Tracys to Tracy's,,"DD, LN"
01/06/1873,January,Fair weather the wind West wrote a letter to C. C. Burrill. Geo. N. Loomis. Went on board Schr A. G. Brooks to see about putting a house on. Wrote letters to Geo. N. Loomis. C. C. Burrill,confident,Winter Harbor,assumed,Home,assumed,NA,NA,NA,NA,NA,NA,NA,write,NA,"Charles C. Burrill, George N. Loomis",W,NA,NA,NA,NA,NA,fair,NA,NA,NA,NA,NA,NA,NA,SO,changed CC to C.C.,,"DD, LN"
01/07/1873,January,Went to Cranberry Isle in the schr Fremont Capt Elisher Bickford dinner on board tea at Joseph Bunker's Lodging at Enoch Stanley's The wind N.N.W and pleasant,confident,"Winter Harbor, Cranberry Isles",assumed,"Home, Joseph Bunker's, Enoch Stanley's",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NNW,NA,NA,pleasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO,"changed Bunkers to Bunker's, changed Stanleys to Stanley's",,"DD, LN"
01/08/1873,January,The wind S.S.E and Chilly got Breakfast to Enoch Stanley's dinner at Joseph Bunker's tea at Enoch Stanley's Lodging at Joseph Bunker,confident,Cranberry Isles,assumed,"Enoch Stanley's, Joseph Bunker's, Enoch Stanley's, Joseph Bunker's ",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SSE,NA,NA,NA,NA,NA,chilly,NA,NA,NA,NA,NA,NA,NA,SO,"changed Stanleys to Stanley's, changed Bunkers to Bunker's, changed Stanleys to Stanley's",,"DD, LN"
01/09/1873,January,The wind Eastward in fore noon and rainy afternoon S.W and cleared of breakfast at Joseph Bunker's dinner at Enoch Stanley Supper and Lodging at the same Evening made a call at Saml. Bunker's ,confident,Cranberry Isles,assumed,"Joseph Bunker's, Enoch Stanley's, Samuel Bunker's, Enoch Stanley's",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,WS,NA,NA,NA,NA,rainy,clear,NA,NA,NA,NA,NA,NA,SO,"changed Bunkers to Bunker's, changed Bunkers to Bunkers, assumed W fow Eastward am",,"DD, LN"
01/10/1873,January,The wind North West quite moderate breakfast at Nahum Spurlings dinner at Thomas Bunker's tea at Joseph Bunker's lodging at Thomas Bunker ,confident,Cranberry Isles,assumed,"Enoch Stanley's, Nahum Spurling's, Thomas Bunker's, Joseph Bunker's, Thomas Bunker's",assumed,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,quite moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SO,"changed Bunkers to Bunker's, changed Bunkers to Bunkers",,"DD, LN"
